companyName,legalForm,companyRegisterNumber,city,postalCode,streetAndNumber,country,iban,bic,vatId,registrationAuthority,registrationNumber,legalRepresentative,solePower
Schmidt Inc,ipsam,79609,Kundeside,49725-7167,2727 Veda Mission,Bangladesh,PS025178390580911917044633105,XPKEGTV1,u,nisi,75454,true,true
Funk - Kreiger,ipsum,42641,West Shirley,44222-5733,93900 Ward Via,Niue,AE870210423040533969098,SRVESTL1,t,vitae,16966,true,true
"Willms, Vandervort and Homenick",dolores,51515,Morrisside,42939-5207,571 Sabryna Unions,Malaysia,AZ07PMVQ63010087846016004837,UJRUALT1924,b,aut,41199,false,false
"Ortiz, McLaughlin and Abbott",laudantium,12523,Hoffman Estates,44782-6848,963 Golden Station,Grenada,KZ957722O549I1172O1Z,VNLEAGF1,3,asperiores,99776,false,true
Christiansen - D'Amore,tempore,1155,East Jonasfurt,71573-8570,618 West Stream,Saint Martin,GE58DC8700208470625460,VEMOAOB1,v,et,8963,false,false
Abshire - Lynch,qui,39671,East Deangeloberg,63554-4863,0880 Hortense Parks,Iceland,FO1342501040503330,GZMUMHX1773,d,in,24202,true,true
Wiegand - Gibson,qui,2382,Kilbackland,58798-6048,13452 Maximillia Bridge,Norfolk Island,IS654006400690045720708725,LPJACUT1,2,voluptatem,20114,true,true
Feest and Sons,doloremque,59915,Jerelview,99460-9481,83486 Jacobs Isle,Thailand,SI50009410800420407,JPXOAQE1,e,dicta,27143,false,true
Conroy Inc,aut,51048,North Giovanny,18328,79861 Braxton Mountain,Chile,LT040092290840034759,MINEGTT1IEO,u,facilis,88324,false,false
"Ratke, Jakubowski and Breitenberg",molestias,25942,Stanfordton,43381-2032,798 Hane Street,Martinique,RO32KUVDS274V25193717799,TGEUBVQ1,u,minima,16200,true,true
"Kerluke, Quitzon and Heathcote",occaecati,6780,Schneiderland,16419,40790 Donnelly Road,Zambia,MC240414030004B8JK015F72664,AEMIBWM1939,6,ea,67734,false,true
Lakin and Sons,a,88890,Port Meaghan,32604-1201,686 Marcelle Mills,Chile,IL410818221800507140251,DNXICLO1,0,qui,85969,true,false
Mitchell and Sons,maiores,65552,Bentonville,59609,727 Clair Valleys,Mayotte,NL42DWAJ7054207023,MQFIZAM1675,x,fugit,91953,false,true
Kling Group,occaecati,63722,Fayetteville,36970-0644,87718 Hackett Course,Kuwait,PS974952990048146900903156027,TQEABYX1,z,aut,53972,true,true
"Collins, Little and Berge",alias,47482,Asheville,07598,02254 Francisco Light,Republic of Korea,IL540770555029100500628,MVXIGHA1,4,quidem,30954,false,true
"Kub, Christiansen and Considine",enim,51445,Koeppborough,11739,350 Berge Burg,Saint Lucia,NL03GKPT1013400500,IZSAIQG1104,k,quis,43015,false,true
"Stracke, Nader and Goldner",accusamus,70461,Vladimirchester,25970-6075,1021 Domenic Street,Kyrgyz Republic,SM20E5235800270581OU5121V2S,EEPOGAU1,x,a,72777,false,false
"Runte, Goldner and Paucek",est,72930,Margareteburgh,59526-4433,484 Gorczany Cape,Guinea-Bissau,FO9130990407830041,QLBUKGQ1,q,explicabo,23505,true,true
"Quitzon, Raynor and Lueilwitz",qui,16832,East Desireeville,26759-8385,71180 Barrows Prairie,Macao,IE12I9K734044391959347,MNPEMWR1715,8,sed,31749,false,false
"DuBuque, Bins and Koss",et,32545,Jayceborough,67315,14615 Robin Fort,Macedonia,TL220250052804020470044,EHAUILE1178,s,illo,74504,true,true
Brown Inc,aut,12321,Minneapolis,43129-1121,940 Jimmy Forks,Guam,SE3565602025700800256399,REXUPSF1,2,necessitatibus,43425,false,true
"Crooks, Rodriguez and Hudson",a,47384,Adeliafort,65313-3190,237 Schimmel Streets,Djibouti,SK5450621970038500206009,ZYWOBZT1,q,ratione,53520,false,true
Reilly LLC,perspiciatis,76523,Glennieton,28777-8099,38404 Schumm Cove,South Africa,CZ5575420664841046434069,RLLOCCB1659,u,quia,87039,false,false
Moore and Sons,minus,93161,Sengermouth,38834-0101,4376 Robel Shore,Argentina,LT567400890616604865,RRYEMQZ1,8,dolorem,42642,true,false
"Harvey, Larson and Grimes",nihil,43732,Port Marcelleview,75969-4779,424 Pinkie Plaza,Paraguay,MK29424911I32261049,QBLEAXC1,6,magni,1675,false,true
"Zulauf, Rippin and Auer",sunt,22295,Spencerfurt,10534,885 Garnett Road,Bahamas,FR3800500417868210A30394O00,GUWUNCV1786,u,enim,64447,false,false
"Grimes, Pouros and Koepp",ullam,90259,South Alethamouth,43124-1788,8555 Prohaska Spur,Botswana,BG18KIGV07396324S4803N,PADABAP1,a,ab,81392,true,true
Gutkowski and Sons,dolores,56419,Jaronberg,77417,43160 Laurence Knoll,Ghana,MC9105042087695E85U41769K51,WKSUATV1ZEP,2,cumque,90165,true,false
"Kilback, Price and Schimmel",aut,68472,New Bennie,57527-8614,72966 Eldridge Crescent,Cameroon,HR9758295806001003007,DYXABDN1821,n,et,18804,false,false
Kunde LLC,eligendi,11617,Ashleighside,76447-4642,765 Myrna Inlet,Holy See (Vatican City State),IT40J728126814512234569993E,FBCINTQ1,3,voluptatem,6771,true,true
Von - Kuhn,cumque,49671,Lindburgh,45691,5675 Gaylord Field,Kazakhstan,NO2600425009146,JDLUCVL1,y,eos,60793,true,true
"Rempel, Parisian and Thiel",vel,19782,Sawaynbury,22332,3222 Elissa Corner,Yemen,AD742924902342184596376S,NPHEECA1,k,tenetur,68915,false,true
Mosciski - Ankunding,suscipit,55400,Carrollview,11261,85984 Jakubowski Gardens,South Africa,PK08XQNR4994510039038173,IJRUUGP1NEQ,x,quia,94781,false,false
Marks - Schmeler,cum,8564,Hoboken,59524,0351 Irma Freeway,Jersey,XK867492346100985909,TPSOSVK1,5,nulla,30698,false,false
Jakubowski - Stracke,voluptatem,4054,Schaumburg,86063-9140,506 Muller River,British Indian Ocean Territory (Chagos Archipelago),FI3770127000936501,UNKIGEG1495,j,beatae,73634,false,true
Goldner Group,quisquam,89250,West Reynoldchester,40244,787 Chaz Port,Qatar,HU54004004712984220046382845,BQNAECU1214,q,voluptas,38620,false,false
Price Inc,error,32276,Normal,94248,235 DuBuque Hollow,Tonga,AZ81WDSP00500949880060057072,XTIAMZX1,3,debitis,65951,true,false
"Fadel, Willms and Upton",odio,38148,Lake Nestorshire,69010-5335,83054 Jesse Harbors,Uganda,EE399203008609445001,IBRUTOQ1190,d,veniam,15480,true,false
"Conn, Fahey and Terry",accusamus,35821,Heloisechester,62953-7755,36905 Hagenes Harbors,Morocco,IE2304Q517706070012900,EAHUKHC1FUW,l,vitae,74284,false,true
Weissnat Inc,ut,10253,Urbandale,37476-2872,158 Tomas Bridge,Gambia,GR26303049821373A50L7D59J22,SWYUROV1,y,explicabo,96281,true,false
"Cummings, Bahringer and Bernhard",consequatur,4520,Port Stanford,67043-8361,5912 Skiles Tunnel,Netherlands Antilles,MC555182520022772106398X987,UCTEBFH1,f,qui,80738,false,true
Kassulke LLC,illum,31371,Melbourne,27931,80885 Kenyatta Lock,Yemen,PT41080031020470322075778,UXROMLF1029,3,fuga,84574,true,true
Grimes LLC,dicta,37049,New Avis,15594-4987,68307 Christ Squares,Malta,FR6605552500285167716905306,TJNUSCR1299,8,sint,23348,true,false
Wehner - Streich,quos,82237,Gayleport,70817-5886,7778 Kelvin Track,Moldova,LU66026048422R21698L,BEOEBUJ1,w,quis,49392,false,false
Nikolaus Inc,dolor,44254,Lewisville,02355-8793,6634 Micaela Court,Cyprus,LV78TAZY8647T877Q1890,RJXOARQ1412,e,quam,56769,false,false
Williamson - Baumbach,explicabo,8956,Methuen Town,96513-9384,5052 Osinski Islands,Congo,LI1262870048W4F571Y27,QDSOJMB1,9,iusto,20025,false,true
Kilback - Friesen,rerum,37248,North Laurie,14322,5867 Emilie Manor,Zambia,VG4571370778325451070216,YDKOQAI1216,s,nulla,59374,false,false
Bosco - Gaylord,voluptates,29588,Ratkestad,25268-9190,943 Stiedemann Ferry,Sao Tome and Principe,TN8109067008007068026003,EZFEIDP1,1,deleniti,13039,true,true
Kihn Group,minus,75879,East Zachariahborough,75093,2563 Theron Cove,Lao People's Democratic Republic,BE61276489005417,QWQUACL1,1,quis,73454,true,true
"Ondricka, Nolan and Rolfson",dolore,14325,Lake Josephine,76513-9298,73648 Mosciski Pines,Slovakia (Slovak Republic),BG94TPRP80603511524Y1I,EOGOCLT1653,6,exercitationem,75870,true,true
"Stoltenberg, Stanton and Predovic",sapiente,36871,East Gillian,42764,2709 Gay Mews,Jamaica,HR0280214570412959378,LXLELRI1,p,eius,82083,true,true
Douglas LLC,rerum,70709,Commerce City,55087-6707,6071 Gilberto Freeway,Gibraltar,GE15OP4380715014400575,BGDOBEL1,7,quam,45590,false,false
Senger - Brekke,repudiandae,70935,Evelynbury,33206,2002 Hilma Port,Suriname,LT185134493739982002,LYHOAUO1723,b,expedita,19695,false,true
Braun Group,in,51959,East Dallasberg,79734,965 Cleveland Valley,Netherlands,ES1738005263705012640962,CYPUMDJ1,d,aliquam,99935,false,false
"Bosco, Cartwright and Denesik",in,86881,Larrychester,93602,451 Zaria Pass,Palau,AD96096003583020T3862FW3,NSUACVU1389,l,vel,87486,false,false
Cruickshank - Sipes,labore,940,Lake Ronny,59912-1977,889 Gottlieb Causeway,Turks and Caicos Islands,PL02534090675002088570081805,UALIGRW1337,s,veniam,64894,false,false
Schamberger and Sons,soluta,44590,Chesterfield,75631,7905 Wilbert Greens,Andorra,VG4862307400846003850082,ZANOTTA1,r,quisquam,83120,true,false
"Hyatt, O'Connell and Nolan",corporis,45346,Dubuque,09303-3594,2220 Fahey Highway,Gabon,KW85QKHO7221727989839T64V21086,BBWIROS1182,d,dolorum,93916,true,false
Kertzmann - Jakubowski,voluptatem,56009,Sengerside,07136-2299,4732 Keebler Isle,Benin,RS42662000661015888009,SDWUGNM1,5,et,7623,false,true
Fritsch Group,sequi,15841,North Royce,36917-6664,7701 Homenick Light,Qatar,EE598488932000989024,EXHUFJT1,f,porro,72734,false,false
"Ondricka, Mertz and Upton",deserunt,73816,Crookshaven,60588-5018,4246 Botsford Mount,Bermuda,SE4834803982042100700753,RMTAVIA1891,h,eos,31549,true,false
Windler Inc,autem,83739,Kyleeview,58203-4301,574 Gerry Locks,Thailand,BR7100490201005152060001456O7,EXSIAGS1,2,iste,49902,false,false
Rau - Hamill,quia,77480,New Betty,82766-5860,634 Dixie Club,Paraguay,PK51NOCQ6105020090800662,ZOKEBSY1575,2,illum,73541,true,false
Schamberger LLC,culpa,65998,Randallberg,91400-3751,608 Sid Port,Aruba,ME78763913205068080297,XXFOHUI1,s,ut,71744,true,false
Howell Inc,incidunt,60641,Boydfort,65561,533 Dickinson Valley,Kenya,RS21095040270086050085,LWJUKRI1785,7,sed,97179,true,false
Baumbach - Lind,qui,40638,Cronamouth,27616,4507 Greenfelder Plaza,San Marino,BR3706840040930229015007968YO,SGUOBNK1,p,quo,4111,false,true
Kuphal LLC,et,6740,Noahmouth,23712-4812,27407 Lowe Forest,Guadeloupe,MT80DJSF30945856R257G3T0134X14N,QRNOCVC1,c,veritatis,27179,true,true
Jaskolski - Jakubowski,sint,70030,Brockland,07981,735 Kyler Points,Micronesia,IS260710067003067020043222,OYPUMLD1363,n,reprehenderit,87409,false,true
"Hermiston, Mante and Hermann",perferendis,54507,Murphyberg,23422,39342 Anderson Point,Belarus,AZ07OLLG79088001002023500172,KKGEAER1,r,ut,51610,true,false
Jones - Abshire,nisi,75351,Lafayette,25133,3933 Adriana Stream,Macao,IT08M66537001825TP5CU5840K3,RGFEDDA1487,8,ea,72976,false,false
"Christiansen, Turcotte and Ward",a,47666,Kurtisfort,96157,163 Granville Inlet,Syrian Arab Republic,RO39NXRP41E3027836316651,CZCOGFV1586,6,voluptate,83868,false,false
"Gorczany, Senger and Jerde",nisi,59968,Jacobsberg,31403-6454,169 Hayes Forges,Nepal,SA1467253C5813290942W90M,XATECIY1,0,recusandae,69921,true,false
"Ruecker, Bailey and Collins",consequatur,35383,Chandler,17997-3214,974 Ophelia Brook,Nicaragua,IT08C2001002533D38V34M3584J,JJQOBEI1,p,aut,48404,false,true
"Sporer, Runolfsdottir and Zieme",repellendus,90475,Juwanton,15868,227 Agustina Radial,Ukraine,CH690057565P12J51L085,NILUSBP1,f,consequuntur,31353,true,false
"Reynolds, Lindgren and Wolff",ad,46108,Kuhicside,35563-8231,28308 Gusikowski Avenue,Congo,BE95410184500177,VOMEIND1,y,incidunt,84104,false,false
McLaughlin - Donnelly,est,7809,Laneyhaven,45158,52431 Neha Port,Sierra Leone,SA414619882M0G86877I440M,YCIUSKU1347,b,quod,84255,false,true
Rowe LLC,et,13265,Lake Carolina,85541-8557,64537 Lupe Shores,Zimbabwe,FR37614330053727O6K233Z8209,YCIEMRN1WUB,1,pariatur,85633,true,false
"Terry, Gottlieb and VonRueden",est,70151,Lake Orville,15263,723 Romaguera Walk,Guinea-Bissau,PT52609002330307307920508,DGQEKZU1,k,qui,34434,false,true
Moen - Ziemann,enim,8983,Darehaven,86064,7332 Lesch Grove,Angola,DO52EOMZ70020630020480604849,AZTUTHK1,6,sint,14140,true,false
"Wilkinson, Sawayn and Koch",excepturi,22112,Lake Leanna,13013,706 Wehner Falls,British Indian Ocean Territory (Chagos Archipelago),TN0700190006500800066006,EGEITAJ1,i,non,41875,true,false
Cruickshank and Sons,modi,31693,North Madonnabury,91540,45441 Wiegand Grove,Grenada,FO4439160040848002,OWOEACU1,w,ut,27309,false,true
Kihn LLC,dolorem,99636,Tiannaview,91289,626 Dach Summit,Guatemala,SK7500985083640330083463,RWGISBV1,g,accusantium,52402,false,true
Hagenes - MacGyver,consequatur,94152,Nitzschebury,44070-9687,74673 Russell Club,Vanuatu,TN0702951726047507511074,YQZOCRN1,n,culpa,76271,true,false
Kautzer and Sons,laudantium,19735,Lake Keyontown,41199-4072,688 Tromp Field,El Salvador,FO9706856730318009,PPBEFXA1634,h,reprehenderit,51704,false,true
"Lakin, Kutch and McKenzie",pariatur,1391,Port Josefina,85102-5388,8916 Olson Plain,Egypt,FI8300564602830655,PTMATVU1850,w,tenetur,63938,true,false
"Wuckert, Bernhard and Conn",adipisci,31666,Lake Mayefurt,65737-7865,8118 Block Views,Gambia,DE81800905745900450019,BNLUCGS1,a,delectus,6205,true,true
